water_source_clean,water_source_category,water_tech_clean,clean_adm1,clean_adm2,clean_adm3,status_clean,distance_to_primary,distance_to_secondary,distance_to_tertiary,distance_to_city,distance_to_town,local_population,served_population,crucialness,pressure,staleness_score,latitude,longitude,chirps_30_precipitation,ndvi_30_NDVI,lst_30_LST_Day_1km,pop_population,risk_score
Borehole/Tubewell,Well,Hand Pump - Afridev,Busia,Teso South,Chakol South,Non-Functional,7377.916567432183,1013.7327435223878,768.465453957016,8921.87697553521,7777.078608687281,3420.0,432.0,0.1263157894736842,1.44,99.96848364814444,0.524509,34.147289,4.659128665924072,0.7572500000000001,24.745000000000005,5.531847953796387,3
Protected Well,Well,Public Tapstand,Kakamega,Khwisero,Kisa East,"Functional, not in use",13004.367929958573,3301.170461047799,1093.86134710651,17209.465523730454,7777.753796792501,2217.0,104.0,0.0469102390617952,0.3466666666666667,67.62587076472403,0.155048,34.662418,5.957250595092773,0.76205,23.185,5.245652198791504,0
Protected Well,Well,Motorized Pump - Electric,Kakamega,Butere,Marama North,Non-Functional,11299.87896901772,1176.0498987166836,5119.63636075127,23727.617810588,4350.192515730704,2457.0,146.0,0.0594220594220594,0.4866666666666667,93.65387840316104,0.187943,34.559052,5.864280700683594,0.7923,23.535000000000025,7.540336608886719,1
Protected Well,Well,Public Tapstand,Migori,Suna East,Kwa,"Functional, not in use",49516.83235248178,4843.319915239495,1753.9202633643863,51182.95153561096,11829.658148107612,1783.0,958.0,0.5372966909702748,3.1933333333333334,67.7752514743934,-1.087669,34.570805,2.2969181537628174,0.7574500000000001,23.06500000000005,3.841189861297608,1
Protected Well,Well,Public Tapstand,Nyamira,West Mugirango,Township,"Functional, not in use",21030.926040655973,4112.0606070354015,330.8516659333182,22232.127708878743,1587.7451519102462,6447.0,1064.0,0.1650380021715526,3.546666666666667,67.83937274769593,-0.553138,34.930735,3.895785570144653,0.72795,20.81500000000005,22.158504486083984,2
Borehole/Tubewell,Well,Hand Pump,Homa Bay,Suba,Ruma-Kaksingri,Non-Functional,51654.12755944305,1536.3387551732194,2320.011843130598,53251.22361543032,17607.664070426847,362.0,362.0,1.0,1.2066666666666668,21.39478596315831,-0.571983,34.2993,1.6231627464294434,0.7197,25.480000000000015,1.779800534248352,2
Undefined Well,Well,Public Tapstand,Migori,Suna West,Wasweta Ii,"Functional, needs repair",59198.221831685696,1556.4658112069967,1164.7007369235862,60073.19648003284,4969.884620608847,2473.0,653.0,0.2640517589971694,2.1766666666666667,67.83937274769593,-1.108071,34.449384,2.245768547058105,0.7473500000000001,23.45500000000004,4.031861305236816,1
Sand or Sub-surface Dam,Sand or Sub-surface Dam,Public Tapstand,Makueni,Makueni,Mavindini,"Functional, not in use",32027.348311260845,11119.64935440591,7305.204543287712,61502.10429331687,26048.70894410695,356.0,186.0,0.5224719101123596,1.1566666666666667,67.7752514743934,-1.891984,37.835179,0.0154318753629922,0.4522,28.510000000000048,0.733749508857727,1
Protected Well,Well,Hand Pump,Homa Bay,Ndhiwa,Kanyamwa Kologi,Non-Functional,38190.51227468804,425.9168791571726,1776.874369715343,39632.67417641227,11647.70673195506,1092.0,226.0,0.2069597069597069,0.7533333333333333,21.20010348772129,-0.687517,34.4122,2.351365327835083,0.7168,24.625000000000057,2.7937052249908447,1
Protected Well,Well,Hand Pump - Nira,Busia,Butula,Marachi East,Functional,9575.067538332338,1593.6677943234322,658.0089092282515,29686.86532470936,15569.940523771344,1857.0,90.0,0.048465266558966,0.3,24.983912974440297,0.354805,34.332508,5.675047874450684,0.80025,24.410000000000025,4.325857639312744,1
Protected Well,Well,Motorized Pump - Electric,Migori,Kuria West,Bukira Centrl/Ikerege,Non-Functional,59394.02090565811,4953.874609192012,3092.226217033077,61156.46436827179,9612.95332804535,1352.0,362.0,0.2677514792899408,1.2066666666666668,99.96848364814444,-1.169618,34.53336,2.2589004039764404,0.7178,23.19000000000005,3.772062063217163,1
Protected Well,Well,Hand Pump,Kakamega,Butere,Marama Central,Non-Functional,9100.396274792143,2504.862540798669,1165.1418161886936,29235.10454561294,2997.202449669165,2413.0,100.0,0.0414421881475341,0.3333333333333333,74.37984449019878,0.242317,34.490549,5.807560920715332,0.7588,23.88000000000005,7.916063785552978,2
Protected Well,Well,Motorized Pump - Electric,Vihiga,Vihiga,Central Maragoli,Non-Functional,11908.636206177414,539.4345451245111,1356.9476031031525,16859.549018128266,884.7492372878538,5701.0,338.0,0.059287844237853,1.1266666666666667,88.79539692474496,0.043632,34.712349,4.014634132385254,0.7544500000000001,22.69000000000005,18.17656898498535,1
Protected Well,Well,Motorized Pump - Electric,Vihiga,Luanda,Mwibona,Non-Functional,2753.553735595548,2081.694213282065,522.8814790495485,25374.31149533226,7558.866608033627,3311.0,866.0,0.2615524010872848,2.8866666666666667,84.6679910098135,0.019645,34.561465,3.520070552825928,0.7351500000000001,23.470000000000027,11.54566764831543,2
Borehole/Tubewell,Well,Public Tapstand,Busia,Funyula,Nangina,"Functional, needs repair",13336.943483400895,3523.7928737678294,1123.8362708260577,19542.75740788494,15127.18719557672,2715.0,239.0,0.0880294659300184,0.7966666666666666,67.73253763292519,0.292442,34.066927,3.148764610290528,0.7428,25.160000000000025,5.1749420166015625,1
Protected Well,Well,Public Tapstand,Bungoma,Likuyani,Kongoni,"Functional, not in use",30206.53005461563,8677.975230226117,3770.913069618955,31910.44832128832,11286.798476887425,2148.0,1615.0,0.7518621973929237,5.383333333333334,67.62587076472403,0.775724,35.139006,4.569857120513916,0.7817000000000001,21.685,6.743965148925781,2
Protected Well,Well,Motorized Pump - Electric,Bungoma,Tongaren,Mbakalo,Non-Functional,33216.867255450656,7773.712361990955,292.0836623888311,48272.87183056439,13481.08909250552,2291.0,550.0,0.2400698384984722,1.8333333333333333,95.14161839155696,0.712162,34.831104,5.756393432617188,0.76795,22.610000000000014,7.262547016143799,2
Protected Well,Well,Motorized Pump - Electric,Siaya,Ugenya,East Ugenya,Non-Functional,14112.3871078806,3822.6725716992464,937.8256963926718,35793.97620372506,13903.31824290082,1409.0,173.0,0.1227821149751596,0.5766666666666667,90.49074712828224,0.304513,34.368259,5.85066032409668,0.7604500000000001,24.50500000000005,4.437222003936768,1
Undefined Well,Well,Public Tapstand,Bungoma,Likuyani,Nzoia,"Functional, not in use",24891.06568130012,9550.599877246985,2627.549438477563,38255.81612447113,10633.88625891941,1837.0,346.0,0.1883505715841045,1.153333333333333,67.73253763292519,0.796875,35.06569,4.744063377380371,0.7954,21.745000000000005,6.140984535217285,1
Sand or Sub-surface Dam,Sand or Sub-surface Dam,Public Tapstand,Makueni,Kibwezi East,Masongaleni,"Functional, needs repair",14652.6934386357,21827.216269057622,4919.590340237363,135072.8096252407,20715.083040173624,203.0,150.0,0.7389162561576355,1.1566666666666667,67.83937274769593,-2.363088,38.145753,0.0751928240060806,0.3206,32.49000000000001,1.1133579015731812,1
Protected Well,Well,Motorized Pump - Electric,Busia,Matayos,Matayos South,Non-Functional,2122.086436678793,7157.570117965958,2370.4501641324346,15041.353397037856,7764.300729187988,2846.0,434.0,0.1524947294448348,1.4466666666666668,92.83092914241848,0.371364,34.186005,5.455283164978027,0.7249,25.125000000000057,4.838287830352783,2
Protected Well,Well,Motorized Pump - Electric,Vihiga,Vihiga,Mungoma,Non-Functional,8682.268659621433,2511.79510585324,1200.1936499173662,20135.60833980889,5938.465483122881,2715.0,352.0,0.1296500920810313,1.1733333333333331,93.65387840316104,0.05663,34.666973,4.829110622406006,0.76885,22.730000000000015,9.269048690795898,2
Protected Well,Well,Public Tapstand,Nyamira,Borabu,Nyansiongo,"Functional, not in use",60.28182658846627,2017.3317948632664,3100.20003446208,26641.5659265619,4537.166833286914,1351.0,281.0,0.2079940784603997,0.9366666666666666,67.71119080804408,-0.767275,34.986505,3.490375518798828,0.75365,19.635000000000048,3.8078160285949703,0
Protected Well,Well,Motorized Pump - Electric,Bungoma,Bumula,Kabula,Non-Functional,867.7362498815361,6008.479324881907,4656.072249605389,32537.525892142578,6531.429007140693,2498.0,199.0,0.0796637309847878,0.6633333333333333,91.3793216568622,0.487603,34.539639,5.537831783294678,0.7628,24.000000000000057,6.388981342315674,2
Protected Well,Well,Motorized Pump - Electric,Migori,Kuria West,Masaba,Non-Functional,54374.03181783134,1174.3303592759855,2361.335587761841,55633.44995565835,6485.797494901306,1355.0,719.0,0.5306273062730628,2.3966666666666665,93.27089144096396,-1.102205,34.512909,2.4344301223754883,0.7270500000000001,23.61500000000001,2.1401538848876958,1
Protected Well,Well,Motorized Pump - Electric,Vihiga,Vihiga,Mungoma,Non-Functional,6165.937493803308,388.2842433498962,3718.1195059944416,17814.11285470912,3661.837464503769,3378.0,176.0,0.0521018354055654,0.5866666666666667,93.41800842107575,0.025677,34.657768,4.014634132385254,0.7743,22.74000000000001,11.90016746520996,1
