DayOfYear,DetailedQA,EVI,NDVI,RelativeAzimuth,SolarZenith,SummaryQA,ViewZenith,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b07
33,2189,1802,3392,15735,2749,1,5116,1098,2213,440,2141
42,2120,3852,5419,-1589,3764,0,3568,1051,3535,496,2118
33,2189,1724,3044,15317,2811,1,5311,1217,2276,558,2083
35,2116,1668,3174,16255,3069,0,2533,1084,2085,477,2311
40,2185,2711,4606,-1578,3465,1,672,965,2609,430,2153
42,2185,1274,1781,14046,3323,1,1328,1964,2812,1060,3101
35,2116,1714,3400,16075,3199,0,1637,995,2017,409,1946
35,2116,1014,2008,8281,3492,0,822,1298,1936,522,2141
45,2116,1091,2276,13912,3380,0,1310,1152,1806,488,1956
35,2116,1261,2133,1961,3439,0,280,1581,2431,669,3083
42,2116,1755,2836,16107,3167,0,1984,1321,2364,722,2250
47,6212,438,1269,-417,3469,0,793,758,970,449,795
35,2116,1111,1842,12596,3477,0,166,1893,2728,691,2936
47,2116,1000,1388,2991,3501,0,1152,2471,3256,1112,3816
40,2116,711,1473,11835,3483,0,852,1190,1598,586,1446
33,2120,1344,2622,15362,2822,1,5207,1134,1933,518,2176
35,2116,1416,2465,-2024,3545,0,642,1430,2331,657,2595
42,2116,1093,2237,15119,3431,0,842,1332,2099,345,2699
40,2116,2326,4396,12890,3395,0,552,895,2266,381,1605
44,2116,1753,2628,-916,3611,0,3418,1801,3078,748,3420
44,2116,1351,2019,6140,3332,0,3955,2133,3205,831,3385
35,2116,1191,1964,-176,3453,0,270,1821,2700,666,2989
45,2116,1081,1967,12763,3319,0,1466,1396,2077,626,2610
35,2116,1072,1777,10827,3447,0,997,1703,2438,735,2904
33,2120,2246,4039,15397,2790,1,5302,950,2218,499,1771
40,2116,1679,3317,13305,3444,0,393,998,1975,454,2110
35,4164,834,1522,6406,3556,0,1777,1319,1853,746,1294
35,2116,1257,2606,10634,3490,0,1038,1191,2012,366,2801
47,2185,1221,1961,8032,3385,1,1773,1793,2665,744,3018
35,2116,781,1578,-791,3611,0,389,1340,1841,514,1908
40,2116,707,1260,6976,3381,0,833,1556,2000,759,2303
42,6285,2424,4763,6474,3452,1,2451,760,2228,287,1605
35,2116,3312,5861,255,3362,0,463,662,2536,314,1478
33,2120,1085,1442,13939,3167,1,2592,2379,3183,1204,3811
35,2116,1747,3326,15941,3268,0,1101,1098,2180,437,1844
42,2116,1112,2291,6898,3460,0,1144,1352,2154,301,3119
42,2116,1457,2202,4676,3393,0,2773,1815,2829,845,2754
33,2189,2001,3695,15402,2816,1,5185,1014,2197,462,1899
33,2189,1691,3329,9593,3125,1,3009,1057,2089,420,1896
37,2116,978,1277,5382,3456,0,2209,2618,3385,1268,4096
35,2116,2490,4379,-2197,3523,0,860,980,2500,410,1877
35,2185,1482,2532,16131,3371,1,111,1325,2211,693,2939
35,2116,1873,3074,-2090,3497,0,660,1396,2619,605,2819
35,2116,3155,6057,-4748,3409,0,49,587,2353,238,1159
47,2116,1710,2904,-2034,3502,0,1006,1258,2296,624,2204
35,2116,838,1196,1935,3509,0,346,2740,3481,1032,4501
35,2116,1211,2344,1560,3461,0,734,1410,2263,411,2789
35,2116,972,1976,-2603,3695,0,1090,1198,1787,511,1805
40,2116,2297,4337,5412,3332,0,642,894,2254,372,1877
35,2116,956,1830,-2413,3662,0,922,1336,1935,574,1902
37,2116,1205,2212,10235,3401,0,1251,1611,2522,440,3213
47,2116,936,1223,2711,3549,0,2273,2713,3470,1276,4131
35,2116,1747,3092,14955,3362,0,179,1318,2472,499,2940
35,2116,1918,3676,1288,3446,0,32,1021,2200,384,1880
35,2116,1320,2138,13257,3332,0,579,1593,2455,758,2968
42,2185,811,1272,-2282,3635,1,1280,1939,2515,885,2516
37,2116,1325,2287,11058,3532,0,751,1585,2512,588,3216
45,2185,794,1514,10535,3391,1,1446,1439,1947,610,2287
35,2116,2740,4581,-2033,3494,0,1023,974,2598,467,1977
33,2120,2219,3683,10105,2963,1,3916,1108,2377,625,1864
42,2185,1230,1907,16182,3144,1,2128,2080,3061,748,3510
40,2116,665,1326,15029,3426,0,536,1293,1685,621,1552
35,2116,1041,1903,14715,3402,0,1531,1709,2502,488,3104
35,2116,1122,2153,15566,3373,0,621,1302,2000,585,2038
35,2116,1390,2799,-1754,3438,0,600,1076,1912,441,1862
37,2116,1166,2022,6248,3499,0,1162,1891,2849,488,4165
44,2185,1558,2470,7336,3242,1,4039,1712,2800,756,3027
35,2116,624,1276,15624,3416,0,422,1338,1728,551,1754
47,2116,977,1971,15628,3327,0,1665,1260,1876,486,2060
35,2116,1299,2298,11547,3463,0,47,1599,2521,563,3084
33,2120,1855,2962,15608,2958,1,4029,1441,2645,672,2421
47,2116,1151,1832,15509,3011,0,4064,1982,2870,729,3338
35,2116,2301,3930,-1598,3452,0,902,1077,2455,504,1951
40,2116,3651,7425,15394,3330,0,612,336,2224,176,638
42,2116,1247,2124,15511,3335,0,948,1766,2714,574,3647
35,2116,920,1590,15655,3274,0,1989,2066,2845,542,3483
35,2116,1146,2618,16040,3312,0,969,973,1648,384,2080
35,4164,472,1067,-2424,3626,0,1012,1122,1387,542,1368
47,2185,1449,2217,16249,3025,1,2935,1769,2776,802,3198
35,2116,953,1411,-759,3533,0,279,2668,3543,874,4343
47,2185,496,1010,5162,3467,1,829,1255,1539,641,1239
40,2116,2923,5504,15561,3342,0,469,667,2306,306,1343
35,2116,735,1046,-2234,3608,0,562,2656,3278,1081,3743
47,2116,1244,1705,13269,3172,0,2459,2563,3616,1046,4113
35,2445,3140,5501,12689,2994,1,3878,1040,2783,795,1064
40,2116,1442,3173,15022,3380,0,618,876,1681,392,1769
45,2185,949,1583,12679,3345,1,1989,1732,2382,746,2812
47,2116,2744,5040,-2221,3546,0,760,778,2317,384,1678
39,3098,2664,4176,3122,3356,3,2809,1323,2959,1033,1714
35,2116,3497,5943,8633,3441,0,1748,737,2859,288,1549
40,2116,2127,4647,16051,3329,0,897,680,1845,295,1375
42,2116,1273,2739,6264,3525,0,1018,965,1683,449,1715
45,2116,1386,3062,15780,3399,0,903,895,1673,402,1630
35,2116,1208,1994,-1598,3538,0,528,1713,2543,730,2817
35,2116,3579,6375,-1823,3448,0,249,582,2625,244,1074
37,2116,1159,2265,9370,3429,0,1164,1433,2272,375,2858
35,2116,928,1254,9224,3428,0,344,3057,3931,1163,4585
47,2185,727,1432,-586,3559,1,860,1316,1757,603,1616
35,2116,3582,5506,-1894,3537,0,1666,865,2990,445,1572
35,2116,1303,2392,14674,3546,0,338,1252,2041,593,2392
35,2116,1853,3093,15948,3105,0,2696,1220,2308,658,2128
35,2116,1002,2458,9527,3307,0,1267,850,1417,344,1182
40,2116,1631,3197,13917,3309,0,987,1057,2068,391,2010
40,2116,2107,4342,7254,3344,0,1062,783,1993,316,1503
33,2120,1615,3544,15604,3032,1,3552,844,1756,365,1721
40,2185,2061,3763,2045,3404,1,892,982,2174,485,2141
35,2116,1500,3222,15878,3408,0,486,915,1782,378,1587
42,2185,1977,3400,15681,2789,1,4890,1138,2313,574,1949
35,2116,1213,2239,6726,3522,0,1921,1723,2717,347,3922
35,2116,584,991,6011,3486,0,357,1859,2264,810,2304
35,2116,3882,7274,-1891,3532,0,603,395,2443,211,754
33,2189,2413,4488,15437,2749,1,5420,836,2190,418,1399
40,2116,3344,5788,15961,3340,0,645,715,2667,313,1297
45,2116,850,1648,14475,3397,0,1465,1342,1871,583,1974
33,2189,2447,4424,15387,2796,1,5291,861,2217,470,1540
35,2116,1658,3015,-1827,3459,0,772,1265,2353,464,2547
35,2116,1152,1819,13724,3441,0,683,1959,2828,761,3255
39,2189,1754,2399,6545,3358,1,4704,1935,3144,1001,3173
35,2116,1209,2190,12672,3237,0,2508,1504,2343,550,3006
35,4164,1333,2326,11544,3366,0,936,1460,2345,595,2496
40,2116,1285,3217,16107,3317,0,949,766,1476,294,1586
45,2116,1556,3063,15701,3361,0,1382,1039,1955,460,1525
35,2116,1839,2463,14819,3310,0,924,2027,3250,1101,3066
35,2116,2770,5282,15950,3307,0,1108,720,2316,293,1543
42,2185,1568,2839,-1408,3375,1,206,1250,2243,525,2034
42,2116,1954,4725,3103,3408,0,2215,587,1607,288,1173
35,2116,1323,2190,16069,3088,0,2516,1645,2566,669,3104
37,2116,1165,2084,9614,3434,0,1149,1690,2576,495,3097
40,2116,1875,4615,16020,3324,0,879,581,1562,261,1091
39,2257,3401,5235,-1459,3673,1,3259,934,2969,472,1829
42,3554,1967,2946,13264,2946,3,4235,1744,3020,1123,2577
35,2116,2087,4188,1418,3470,0,610,853,2051,378,1732
33,2189,1356,2505,14430,2983,1,4788,1555,2590,377,3240
35,2116,2179,3868,15974,3254,0,1318,1101,2474,434,1834
35,2116,2230,4226,-2320,3547,0,902,918,2241,380,1940
47,2185,588,1090,14770,3451,1,467,1704,2116,660,2091
37,2116,1155,1485,-2034,3678,0,2244,2755,3706,1275,4041
35,2116,1407,2100,15996,3213,0,1886,1875,2870,858,3161
35,2116,3740,5782,879,3568,0,2157,846,3124,392,1677
33,2189,2238,4213,15635,2778,1,4983,919,2243,387,1761
33,2120,1292,1917,7185,3275,1,4034,2242,3301,808,3513
35,2116,1079,1793,-2209,3554,0,791,1712,2452,739,3425
35,2116,1152,2065,13866,3415,0,1489,1600,2432,531,2862
40,2116,994,2270,9966,3348,0,920,980,1543,429,1714
40,2116,1442,3173,15022,3380,0,618,876,1681,392,1769
35,2116,747,1444,-2343,3648,0,683,1382,1844,619,1764
47,2116,1177,1612,12866,3178,0,2892,2453,3394,1081,4398
45,2116,887,1869,15790,3308,0,1605,1125,1635,529,1505
42,2116,1316,2203,11386,3410,0,867,1642,2561,655,2747
42,2116,1157,1970,6034,3493,0,1108,2077,3092,482,3963
33,2116,2175,4047,15936,3370,0,396,964,2281,387,1869
33,2189,1899,3307,13170,2916,1,4960,1120,2201,629,1842
35,2116,571,1105,-2357,3628,0,772,1425,1780,647,1874
35,2116,821,1820,14308,3399,0,600,1028,1488,489,1278
42,2116,1300,2009,15960,3252,0,1571,1835,2747,818,3246
47,2185,479,993,8002,3394,1,1545,1256,1531,634,1356
40,2116,744,1421,-2587,3584,0,272,1359,1807,651,1557
42,2185,1241,2109,16079,3273,1,1351,1414,2165,735,2356
35,2116,1583,3076,-1808,3473,0,872,1086,2041,455,2396
35,2116,1238,2071,-2202,3530,0,785,1633,2485,675,3604
45,2185,933,1611,3306,3431,1,840,1785,2469,642,3485
35,2116,1451,2743,11773,3359,0,1177,1248,2183,478,2358
39,2257,4291,6698,364,3610,1,3713,640,3193,305,1196
35,2116,1673,2965,-1874,3512,0,998,1296,2388,512,2121
42,2116,1806,2787,15960,3164,0,2040,1469,2590,779,2306
35,2116,3558,5408,-1894,3569,0,1773,896,3005,474,1838
35,2116,773,1439,-2637,3664,0,830,1507,2014,621,1928
47,2185,802,1672,10355,3487,1,975,1143,1601,561,1453
35,2116,1222,2403,14242,3312,0,694,1303,2125,416,2454
47,2185,1240,1943,13805,3398,1,921,1868,2768,779,3061
35,2116,1253,2385,-1110,3411,0,377,1181,1917,576,1887
